Country,French speakers,Filler,Percentage
AL ,320000,1,10
DZ,11200000,2,33
AD,57000,3,70
AM,200000,4,6
AT,967000,5,11
BE ,8088000,6,72
BJ,3848000,7,35
BG,185000,8,3
BF,3965000,9,22
BI,897000,10,8
KH,423000,11,3
CM,9334000,12,40
CA,10470000,13,29
CV,55000,14,11
CF,1410000,15,29
TD,1714000,16,13
KM,196000,17,25
CG,33222000,18,47
CI,7218000,19,34
HR,116000,20,3
CY,78000,21,7
CZ,189000,22,2
DK,436000,23,8
DJ,450000,24,50
DM,7000,25,10
DO,153000,26,1
EG,2800000,27,3
GQ,231000,28,29
EE,19000,29,1
FI,519000,30,10
FR,62968000,31,97
GA,1070000,32,61
GE ,18000,33,0
DE,11943000,34,14
GH,219000,35,1
GR,781000,36,7
GN,2974000,37,24
GW,275000,38,15
HT,4454000,39,42
HU,117000,40,1
IE,587000,41,12
IL,300000,42,4
IT,9394000,43,15
LA,190000,44,3
LV,26000,45,1
LB,1920000,46,38
LT,75000,47,2
LU,521000,48,96
MK,237000,49,11
MG,4847000,50,20
ML,2744000,51,17
MT,55000,52,13
MR,529000,53,13
MU,911000,54,73
MD,83000,55,2
MC,30000,56,79
ME,13000,57,2
MA,10657000,58,31
MZ,81000,59,0
NL,3614000,60,21
NE,2439000,61,13
NO,324000,62,6
PL,1034000,63,3
PT,2423000,64,23
QA,100000,65,4
RO,1897000,66,9
RW,700000,67,6
WL,3000,68,2
ST,41000,69,20
SN,4277000,70,29
RS,319000,71,3
SC,50000,72,53
SK,109000,73,2
SI,79000,74,4
ES,5022000,75,11
SE,1074000,76,11
CH,5402000,77,66
TH,556000,78,1
TG,2787000,79,39
TN,6090000,80,54
UA,54000,81,0
AE,100000,82,1
GB,10520000,83,16
US,2100000,84,1
UY,5000,85,0
VU,83000,86,31
VN,654000,87,1
