Country,Population,Filler,Percentage
AD,84484,,64
AR,44494502,,99
AW,101484,,74
AU,21507717,,2
AT,8205533,,4
BE,10918405,,5
BZ,333200,,63
BJ,10008749,,4
BO,11145770,,88
BQ,223652,,56
BR,206120000,,34
BG,7262675,,2
CA,34605346,,87
CL,18275530,,99
CO,49610000,,99
CR,4890379,,99
CU,11559000,,99
DK,5484723,,4
DO,10819000,,100
EC,16674000,,98
SV,6349939,,100
GQ,1622000,,91
FI,5244749,,3
FR,65635000,,4
GA,1545255,,11
DE,81292400,,4
GI,29441,,77
GT,16945000,,86
HN,8866351,,99
IE,4581269,,4
IS,7112359,,2
IT,60795612,,2
CI,21359000,,15
SE,524853,,6
MX,124737789,,99
MA,34378000,,10
NL,16665900,,5
NI,6218321,,100
PA,3764166,,93
PY,6953646,,100
PE,32162184,,87
PH,101562305,,33
PT,10636888,,10
PR,3474182,,99
RO,21355849,,5
ES,46539026,,99
SE,9555893,,6
CH,7581520,,2
TT,1317714,,5
GB,64105700,,6
US,323127515,,82
UY,3480222,,99
VE,31828110,,99
EH,513000,,4
